make;model;year;mileage;engine_power;fuel_type;gearbox;price
peugeot;308;2017;171045;120;diesel;manual;29900
peugeot;2008;2019;152000;102;diesel;manual;14999
hyundai;i30;2013;200000;99;petrol;manual;23900
ford;focus;2018;252000;120;diesel;manual;25900
nissan;qashqai;2017;50000;115;petrol;manual;47300
kia;stonic;2023;30990;99;petrol;manual;68000
cupra;cupra-leon-st;2023;36900;150;petrol;automatic;99999
mercedes-benz;klasa-e;2016;263000;194;diesel;automatic;92900
citroen;c1;2015;169800;69;petrol;manual;16800
audi;a3-limousine;2021;189988;150;petrol;automatic;76900
kia;pro-ceed;2020;99200;204;petrol;automatic;79900
skoda;octavia;2019;147978;190;petrol;automatic;55900
toyota;avensis;2005;333970;129;petrol;manual;6400
audi;a3-sportback;2008;221310;140;diesel;manual;20900
opel;adam;2016;190000;87;petrol;manual;20999
opel;astra;2021;166513;105;diesel;manual;35800
ford;grand-tourneo-connect;2019;133000;120;diesel;automatic;58900
skoda;citigo;2018;62927;75;petrol;manual;30000
peugeot;308;2019;193344;130;petrol;manual;24500
dacia;duster;2016;135568;125;petrol;manual;32700
skoda;octavia;2024;13779;115;petrol;manual;96000
bmw;seria-3;2004;298000;115;diesel;manual;11000
hyundai;tucson;2007;272000;140;diesel;manual;12900
